nombre,descripcion,categoria,precio,sku_pos,activo
SUCCIONADOR NYLA FUSCIA CAMTOYZ,,Succionador,145000,2 CT-JVB-160-NYLA-FUC,true
TAPA OJOS NEGRO AJUSTABLE,,Fetish,40000,ANT015,true
ARNES WEAR SERIES TALLA S,,Strap On,350000,ARN049,true
ARNES WEAR SERIES TALLA M,,Strap On,350000,ARN050,true
ARNES VIBRADOR ROSE CON APP VIBRACIONES,,Strap On,350000,ARN058,true
BIG PENIX X3,,Potenciadores,30000,BIG-PENIS,true
BLIX CEREZA 30 ML,,Cosmeticos,45000,BLIX-CEREZA,true
BLIX CHOCOLATE 30 ML,,Cosmeticos,45000,BLIX-CHO,true
BLIX FRESA 30 ML,,Cosmeticos,45000,BLIX-FRESA,true
POTENCIADOR HOMBRE CAJA BLIX,,Cosmeticos,40000,BLIX-HOMBRE,true
JARABE 500 ML POTENCIADOR BLIX,,Cosmeticos,90000,BLIX-JARABE,true
BLIX LUBRICANTE ANAL DESENSIBILIZANTE 30ML,,Cosmeticos,60000,BLIX-LUBRI-ANAL,true
BLIX LUBRICANTE NEUTRO 30ML,,Cosmeticos,45000,BLIX-LUBRI-NEU,true
BLIX MARACUYA 30 ML,,Cosmeticos,45000,BLIX-MARACUYA,true
LUBRICANTE MORA FRIO BLIX,,Cosmeticos,45000,BLIX-MORA,true
POTENCIADOR MUJER CAJA BLIX,,Cosmeticos,40000,BLIX-MUJER,true
BLIX PASQUEL,,Cosmeticos,65000,BLIX-PASQUEL,true
BLIX RETARDANTE 8 ML,,Cosmeticos,45000,BLIX-RETARDANTE,true
RETOS BLIX,,Dados,30000,BLIX-RETOS,true
BLIX SACHET 20ML,,Cosmeticos,20000,BLIX-SACHET,true
BLIX SANDIA 30 ML,,Cosmeticos,45000,BLIX-SANDIA,true
CABALLO BLANCO,,Cosmeticos,55000,CABALLO BLANCO,true
BOLAS ANALES KHET CAMTOYZ,,Estimulacion Anal y Prostata,75000,CT-JAN-002-KHET-NEG,true
